,date,boundsId,weight,quantity
408,2017-11-20 01:00:00,869,,
409,2019-09-18 02:00:00,869,1000.0,
410,2017-05-05 02:00:00,870,,
411,2018-05-05 02:00:00,870,250.0,
412,2019-04-20 02:00:00,871,950.0,
413,2018-09-30 02:00:00,889,1000.0,
414,2019-04-07 02:00:00,901,200.0,
415,2018-05-12 02:00:00,901,20.0,
416,2018-05-13 02:00:00,904,0.0,
417,2019-05-06 02:00:00,904,100.0,
418,2020-02-09 01:00:00,904,915.0,
419,2015-05-09 02:00:00,904,800.0,
420,2018-09-05 02:00:00,912,180.0,
421,2019-04-29 02:00:00,912,,
422,2018-05-13 02:00:00,922,194.0,
423,2018-03-17 01:00:00,940,5500.0,
424,2017-04-04 02:00:00,941,0.0,
425,2020-05-18 02:00:00,941,750.0,
426,2019-09-18 02:00:00,946,100.0,
427,2018-05-30 02:00:00,954,,
428,2018-05-13 02:00:00,971,100.0,
429,2019-11-20 01:00:00,972,6200.0,
430,2018-08-27 02:00:00,974,1400.0,
431,2019-04-25 02:00:00,978,370.0,
432,2017-05-06 02:00:00,985,,
433,2018-05-05 02:00:00,985,3500.0,
434,2017-10-25 02:00:00,1001,2300.0,
435,2017-05-10 02:00:00,1002,1500.0,
436,2017-09-20 02:00:00,1002,3500.0,
437,2017-10-22 02:00:00,1003,4000.0,
438,2019-09-19 02:00:00,1011,1000.0,
